Insert Index;Insert Time (ms);Insert Operation Count;Search Index;Contains Time (ms);Contains Operation Count;Delete Time (ms);Delete Operations Count
266;1600;64;;;;;
267;1100;45;;;;;
268;1100;37;;;;;
269;800;38;;;;;
270;900;45;;;;;
271;600;48;;;;;
272;1000;66;;;;;
273;600;32;;;;;
274;1500;60;;;;;
275;1600;69;;;;;
276;1300;60;;;;;
277;900;43;;;;;
278;600;36;;;;;
279;1100;45;;;;;
280;1400;67;;;;;
281;1100;53;;;;;
282;1100;43;;;;;
283;900;49;;;;;
284;500;42;;;;;
285;1200;85;;;;;
286;500;36;;;;;
287;700;60;;;;;
288;700;48;;;;;
289;800;52;;;;;
290;2000;75;;;;;
291;500;42;;;;;
292;800;51;;;;;
293;900;58;;;;;
294;600;43;;;;;
295;900;60;;;;;
296;700;43;;;;;
297;900;67;;;;;
298;500;43;;;;;
299;1100;78;;;;;
300;700;47;;;;;
301;800;68;;;;;
302;600;43;;;;;
303;600;45;;;;;
304;500;36;;;;;
305;500;36;;;;;
306;500;36;;;;;
307;500;42;;;;;
308;500;38;;;;;
309;900;48;;;;;
310;1300;59;;;;;
311;800;67;;;;;
312;700;49;;;;;
313;600;39;;;;;
314;1300;140;;;;;
315;500;43;;;;;
316;600;43;;;;;
317;600;45;;;;;
318;600;39;;;;;
319;800;65;;;;;
320;400;38;;;;;
321;600;57;;;;;
322;500;42;;;;;
323;600;55;;;;;
324;1000;75;;;;;
325;600;49;;;;;
326;900;66;;;;;
327;600;51;;;;;
328;600;47;;;;;
329;700;39;;;;;
330;500;44;;;;;
331;900;51;;;;;
332;500;38;;;;;
333;800;48;;;;;
334;400;32;;;;;
335;700;48;;;;;
336;400;44;;;;;
337;800;56;;;;;
338;500;44;;;;;
339;900;79;;;;;
340;1100;34;;;;;
341;900;44;;;;;
342;1000;49;;;;;
343;1300;73;;;;;
344;1100;55;;;;;
345;800;42;;;;;
346;900;39;;;;;
347;1700;81;;;;;
348;1800;86;;;;;
349;800;39;;;;;
350;1500;78;;;;;
351;1000;45;;;;;
352;1600;68;;;;;
353;1500;63;;;;;
354;1100;66;;;;;
355;2400;53;;;;;
356;1500;48;;;;;
357;800;48;;;;;
358;1200;61;;;;;
359;1600;54;;;;;
360;1500;81;;;;;
361;900;51;;;;;
362;1100;57;;;;;
363;1100;49;;;;;
364;2500;84;;;;;
365;1500;78;;;;;
366;1100;56;;;;;
367;900;38;;;;;
368;1400;73;;;;;
369;1700;73;;;;;
370;1300;62;;;;;
371;800;48;;;;;
372;1600;80;;;;;
373;900;39;;;;;
374;900;51;;;;;
375;1300;65;;;;;
376;700;32;;;;;
377;1200;58;;;;;
378;700;38;;;;;
379;600;38;;;;;
380;700;34;;;;;
381;1400;58;;;;;
382;800;50;;;;;
383;600;38;;;;;
384;1800;60;;;;;
385;1000;50;;;;;
386;800;44;;;;;
387;1400;56;;;;;
388;700;42;;;;;
389;2900;84;;;;;
390;1000;43;;;;;
391;800;43;;;;;
392;900;40;;;;;
393;1500;79;;;;;
394;1000;55;;;;;
395;1400;66;;;;;
396;700;48;;;;;
397;1800;85;;;;;
398;1000;57;;;;;
399;900;45;;;;;
400;1100;49;;;;;
401;1600;68;;;;;
402;1000;57;;;;;
403;2200;132;;;;;
